un_location_id,un_name,iso3
4,Afghanistan,AFG
8,Albania,ALB
12,Algeria,DZA
16,American Samoa,ASM
20,Andorra,AND
24,Angola,AGO
28,Antigua and Barbuda,ATG
31,Azerbaijan,AZE
32,Argentina,ARG
36,Australia,AUS
40,Austria,AUT
44,Bahamas,BHS
48,Bahrain,BHR
50,Bangladesh,BGD
51,Armenia,ARM
52,Barbados,BRB
56,Belgium,BEL
60,Bermuda,BMU
64,Bhutan,BTN
68,Bolivia (Plurinational State of),BOL
70,Bosnia and Herzegovina,BIH
72,Botswana,BWA
76,Brazil,BRA
84,Belize,BLZ
90,Solomon Islands,SLB
92,British Virgin Islands,VGB
96,Brunei Darussalam,BRN
100,Bulgaria,BGR
104,Myanmar,MMR
108,Burundi,BDI
112,Belarus,BLR
116,Cambodia,KHM
120,Cameroon,CMR
124,Canada,CAN
132,Cabo Verde,CPV
136,Cayman Islands,CYM
140,Central African Republic,CAF
144,Sri Lanka,LKA
148,Chad,TCD
152,Chile,CHL
156,China,CHN
158,"China, Taiwan Province of China",TWN
170,Colombia,COL
174,Comoros,COM
175,Mayotte,FRA
178,Congo,COG
180,Democratic Republic of the Congo,COD
184,Cook Islands,NZL
188,Costa Rica,CRI
191,Croatia,HRV
192,Cuba,CUB
196,Cyprus,CYP
203,Czechia,CZE
204,Benin,BEN
208,Denmark,DNK
212,Dominica,DMA
214,Dominican Republic,DOM
218,Ecuador,ECU
222,El Salvador,SLV
226,Equatorial Guinea,GNQ
231,Ethiopia,ETH
232,Eritrea,ERI
233,Estonia,EST
234,Faroe Islands,FRO
238,Falkland Islands (Malvinas),GBR
242,Fiji,FJI
246,Finland,FIN
250,France,FRA
254,French Guiana,FRA
258,French Polynesia,PYF
262,Djibouti,DJI
266,Gabon,GAB
268,Georgia,GEO
270,Gambia,GMB
275,State of Palestine,PSE
276,Germany,DEU
288,Ghana,GHA
292,Gibraltar,GIB
296,Kiribati,KIR
300,Greece,GRC
304,Greenland,GRL
308,Grenada,GRD
312,Guadeloupe,FRA
316,Guam,GUM
320,Guatemala,GTM
324,Guinea,GIN
328,Guyana,GUY
332,Haiti,HTI
336,Holy See,VAT
340,Honduras,HND
344,"China, Hong Kong SAR",CHN
348,Hungary,HUN
352,Iceland,ISL
356,India,IND
360,Indonesia,IDN
364,Iran (Islamic Republic of),IRN
368,Iraq,IRQ
372,Ireland,IRL
376,Israel,ISR
380,Italy,ITA
384,Côte d'Ivoire,CIV
388,Jamaica,JAM
392,Japan,JPN
398,Kazakhstan,KAZ
400,Jordan,JOR
404,Kenya,KEN
408,Dem. People's Rep. of Korea,PRK
410,Republic of Korea,KOR
412,Kosovo (under UNSC res. 1244),SRB
414,Kuwait,KWT
417,Kyrgyzstan,KGZ
418,Lao People's Democratic Republic,LAO
422,Lebanon,LBN
426,Lesotho,LSO
428,Latvia,LVA
430,Liberia,LBR
434,Libya,LBY
438,Liechtenstein,LIE
440,Lithuania,LTU
442,Luxembourg,LUX
446,"China, Macao SAR",CHN
450,Madagascar,MDG
454,Malawi,MWI
458,Malaysia,MYS
462,Maldives,MDV
466,Mali,MLI
470,Malta,MLT
474,Martinique,FRA
478,Mauritania,MRT
480,Mauritius,MUS
484,Mexico,MEX
492,Monaco,MCO
496,Mongolia,MNG
498,Republic of Moldova,MDA
499,Montenegro,MNE
500,Montserrat,GBR
504,Morocco,MAR
508,Mozambique,MOZ
512,Oman,OMN
516,Namibia,NAM
520,Nauru,NRU
524,Nepal,NPL
528,Netherlands,NLD
531,Curaçao,NLD
533,Aruba,ABW
534,Sint Maarten (Dutch part),SXM
535,"Bonaire, Sint Eustatius and Saba",NLD
540,New Caledonia,NCL
548,Vanuatu,VUT
554,New Zealand,NZL
558,Nicaragua,NIC
562,Niger,NER
566,Nigeria,NGA
570,Niue,NZL
578,Norway,NOR
580,Northern Mariana Islands,MNP
583,Micronesia (Fed. States of),FSM
584,Marshall Islands,MHL
585,Palau,PLW
586,Pakistan,PAK
591,Panama,PAN
598,Papua New Guinea,PNG
600,Paraguay,PRY
604,Peru,PER
608,Philippines,PHL
616,Poland,POL
620,Portugal,PRT
624,Guinea-Bissau,GNB
626,Timor-Leste,TLS
630,Puerto Rico,USA
634,Qatar,QAT
638,Réunion,FRA
642,Romania,ROU
643,Russian Federation,RUS
646,Rwanda,RWA
652,Saint Barthélemy,FRA
654,Saint Helena,GBR
659,Saint Kitts and Nevis,KNA
660,Anguilla,GBR
662,Saint Lucia,LCA
663,Saint Martin (French part),FRA
666,Saint Pierre and Miquelon,FRA
670,Saint Vincent and the Grenadines,VCT
674,San Marino,SMR
678,Sao Tome and Principe,STP
682,Saudi Arabia,SAU
686,Senegal,SEN
688,Serbia,SRB
690,Seychelles,SYC
694,Sierra Leone,SLE
702,Singapore,SGP
703,Slovakia,SVK
704,Viet Nam,VNM
705,Slovenia,SVN
706,Somalia,SOM
710,South Africa,ZAF
716,Zimbabwe,ZWE
724,Spain,ESP
728,South Sudan,SSD
729,Sudan,SDN
732,Western Sahara,ESH
740,Suriname,SUR
748,Eswatini,SWZ
752,Sweden,SWE
756,Switzerland,CHE
760,Syrian Arab Republic,SYR
762,Tajikistan,TJK
764,Thailand,THA
768,Togo,TGO
772,Tokelau,NZL
776,Tonga,TON
780,Trinidad and Tobago,TTO
784,United Arab Emirates,ARE
788,Tunisia,TUN
792,Türkiye,TUR
795,Turkmenistan,TKM
796,Turks and Caicos Islands,TCA
798,Tuvalu,TUV
800,Uganda,UGA
804,Ukraine,UKR
807,North Macedonia,MKD
818,Egypt,EGY
826,United Kingdom,GBR
831,Guernsey,GGY
832,Jersey,BGR
833,Isle of Man,IMN
834,United Republic of Tanzania,TZA
840,United States of America,USA
850,United States Virgin Islands,USA
854,Burkina Faso,BFA
858,Uruguay,URY
860,Uzbekistan,UZB
862,Venezuela (Bolivarian Republic of),VEN
876,Wallis and Futuna Islands,FRA
882,Samoa,WSM
887,Yemen,YEM
894,Zambia,ZMB
900,World,
901,Developed regions,
902,Developing regions,
903,Africa,
904,Latin America and the Caribbean,
905,Northern America,
906,Eastern Asia,
908,Europe,
909,Oceania,
910,Eastern Africa,
911,Middle Africa,
912,Northern Africa,
913,Southern Africa,
914,Western Africa,
915,Caribbean,
916,Central America,
920,South-Eastern Asia,
922,Western Asia,
923,Eastern Europe,
924,Northern Europe,
925,Southern Europe,
926,Western Europe,
927,Australia/New Zealand,
928,Melanesia,
931,South America,
934,"Less developed regions, excluding least developed countries",
935,Asia,
941,Least developed countries,
947,Sub-Saharan Africa,
948,"Developing regions, excluding China",
954,Micronesia,
957,Polynesia,
961,Small island developing States (SIDS),
968,Land-locked Developing Countries (LLDC),
1401,Other development groups,
1500,Low-income countries,
1501,Lower-middle-income countries,
1502,Upper-middle-income countries,
1503,High-income countries,
1517,Middle-income countries,
1518,No income group available,
1829,Europe and Northern America,
1830,Latin America and the Caribbean,
1831,Central and Southern Asia,
1832,Eastern and South-Eastern Asia,
1833,Northern Africa and Western Asia,
